Текст вопроса	Номер связки 	Тематика 		
с уважением Вероника Игоревна  Ильич  После 15 августа 2020 года к нам, в Москву планируют приехать гости из Молдовы. Какой на сегодняшний день режим по Ковид распространяется на иностранцев, прибывающих в Россию?  С уважением, Иван Звягинцев 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Здравствуйте! Проинформируйте, пожалуйста, нужен ли тест на COVID-19 при заселении в санаторий в августе 2020 года? 	324	ОРГАНИЗАЦИИ ОТДЫХА ДЕТЕЙ И ИХ ЗДОРОВЛЕНИЯ		
-- Добрый день!    Меня, Сидельникова Андрея Олеговича 30.07.1989г.р., посадили на карантин как контактного. После выяснения у заболевшего коронавирус не подтвердился. На работе мне нужно подтвердить документально мое отсутствие с 3.08 по 07.08.2020. Обратился в инфекционисту, на что та сказала, что за свой счет, либо досиживайте по Предписанию все положенные 14 дней. Находиться на больничном до 14.08.2020 не имею финансовой возможности, да и на предприятии к этому не очень хорошо относяться. Вопрос! Почему я должен за свой счет закрывать дни карантина. Прошу как можно быстрее разобраться в сложившейся ситуации, в противном случае буду обращаться в вышестоящие органы. Проживаю:г. Челябинск, ул. ЗАВАЛИШИНА ТЕЛ 8951779000 Пишу с почты супруги. 	57	БОЛЬНИЧНЫЙ ЛИСТ		
Добрый день. В Кемеровской области согласно постановлению Администрации необходимо организовать изолятор для временного содержания больного сотрудника до передачи его в скорую. Планируем организовать изолятор в помещении раздевалки, отгородив часть помещения пленкой от пола до потолка. Разрешается ли такое, так как место ограничено и свободных помещений нет.   Отправлено с iPhone 	45	ШТРАФЫ, НОРМАТИВНЫЕ АКТЫ И РЕКОМЕНДАЦИИ		
Здравствуйте, в моем городе Кострома введено ограничение на работу кальянных. Моя бабушка живет в соседнем доме от кальянной, очень переживает, что может заразиться коронавирусом, так мало того, что это рассадник бактерий и вирусов, так ещё и каждый вечер туда-сюда толпы ходят. Подскажите, что делать? И возможно ли жалобу написать дистанционно, не обращаясь с письменным заявлением в роспотребнадзор? 	3	ШТРАФЫ, НОРМАТИВНЫЕ АКТЫ И РЕКОМЕНДАЦИИ		
Здравствуйте. При возвращении в Алтайский край из другого региона на  поезде, должна ли я отсидеть 14 дней карантина? 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ 		
Добрый день!  Мы семьей планируем отдых в турции с 31 августа по 11 сентября. По возращению из Турции в Москву, требуется ли двух недельный карантин или можно в обычном режиме идти на работу (детям в сад)? Должны ли мы будем сообщить куда-нибудь о своем приезде? Необходимо ли будет сдать тест на ковит? С уважением, Зайцева Александра. 8-926-48-133-42 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день! Подскажите, пожалуйста, после прилёта из Турции надо сдать тест на коронавирус, подойдет ли экспресс тест, который делают в Шереметьево? А также экспресс тест из платных клиник? Можно ли именно экспресс тест загрузить на госуслуги? -- Отправлено из Mail.ru для Android 	308	ЗАКРЫТИЕ ГРАНИЦ, ОТКРЫТИЕ ГРАНИЦ РОССИИ И АВИАСООБЩЕНИЯ, ВОЗВРАЩЕНИЕ ГРАЖДАН		
Добрый день ! Подскажите пожалуйста,  10.08.20г мне необходимо по записи к врачу проехать на автомобиле из Ленинск-Кузнецкий в Новокузнецк ( по Кемеровской области) Будет ли проблема с пропуском ? И второй вопрос из Санкт-Петербурга дочь планирует прилететь или в Новосибирский или в Кемеровский аэропорт ,какие будут меры по прилёту? С уважением Кредышева Наталья -- Отправлено из Mail.ru для Android 	37	ОГРАНИЧЕНИЯ, ПРОПУСКНАЯ СИСТЕМА И ПЕРЕМЕЩЕНИЕ МЕЖДУ СУБЪЕКТАМИ И РЕГИОНАМИ		
нужно ли вводить снова в организации  мероприятия по обработке помещений дезсредствами  и измерение температуры ? --  С уважением, ведущий инженер по охране труда Ведерникова Дарья Сергеевна 8-982-815-68-61 	45	ШТРАФЫ, НОРМАТИВНЫЕ АКТЫ И РЕКОМЕНДАЦИИ		
